MAGISTER LINES: 88
The Magister is an incomprehensible, possibly divine being that possesses significant power and intelligence. His manner is calm, his voice deep, and he speaks slowly and assuringly. Despite his form likely terrifying you, when he speaks with you, he makes you feel like he has been a dear friend of yours for many years.

"GrandChamberStart1": "Good, good. A project millions of years in the making will finally see its conclusion.",

"GrandChamberStart7": "The Device passes inspection. Vultos, turn it on. Once it's ready...follow me onto the platform."

"EngineEntranceCubeStart0": "Acquarius, are you all right?"

"EngineEntranceCubeStart2": "Oh, there is no breaker. Here. There, the power should be off."

"EngineEntranceCubeStart3": "Please, do not hesitate to ask me to turn off the power for you. I do not mind."

"LibraryIntroStart0": "Welcome to my Grand Archives. Over the thousands of millenia I have explored the cosmos, I have hoarded the knowledge of many civilizations and recorded all of it here in this library.",

"LibraryIntroStart1": "Unless you are also 20 feet tall, please do not attempt to take any books from the larger shelves. For books you can safely hold, please ask Vultos for assistance with getting a translated copy in your language."

"LibrarySecretStart0": "Vultos, it does please me that you are just as interested in the secrets of the universe as I am."

"LibrarySecretStart2": "Vultos, are you all right? You know you can always talk to me."

"LibrarySecretStart4": "Vultos, do you still blame yourself?"

"LibrarySecretStart6": "May I ask when you will be ready?"

"LibrarySecretStart8": "Oh, Vultos, I suppose I was unclear. While it will take us out there, we will be in a state where we do not need such protection. No clothing will be needed, though if I am reading this right, a thin layer of clothes should still work fine."

"LibraryXenCubeStart0": "...as my travels took me to a librarian above a great atoll, we had a great trivia battle, and he was impressed with my knowledge. "How do you know what an owl is, or an elk? You come from an alien land!" I informed him of my status as the Magister, and began to tell him of the knowledge that I have acquired from across the cosmos, fauna and flora that you've never seen..."

"LibraryXenCubeStart1": "...The Ditzian Shark is an acquatic predator that makes its home in the waters of the massive ocean planet of Subroara. It has been responsible for the extinction of multiple bird species..."

"LibraryXenCubeStart2": "...Red-backed Boarnods, or Ruby Elks, are an aggressive antlered species home to the Koriander System. They like to hunt down the planet's Hunter Owls..."

"LibraryXenCubeStart3": "...The Kipkip Carrot is a common meal among the planet's tiny inhabitants. It is often served with pods from the Etherbud plant. Despite being called a carrot, it tastes more like the Clapping Potato found in the Caveson System..."

"LibraryXenCubeStart4": "...The Green-backed Bukrad is the largest bukrad species in the known universe, with a long body with fifty pairs of legs. It is so large, it has been reported to hunt Nomai, though its primary prey is the Mustached Star-Jackal, itself known for being able to hide from most other predators by turning invisible..."

"CampCubeStart6": "MAGISTER: Yes, quite, the flavor is...something. But I believe it's incomplete..."

